feature,importance
minimum1_recentcore_gap1,0.058060619169685336
minimum2_specific_fraction,0.05786296506181743
own_recentcore_phase_due7,0.057752033923375266
minimum2_vague_fraction,0.05771665253792765
minimum3_gap_max,0.057419914230516934
delta_from_minimum_recentcore_gap_error30,0.05737672092002623
minimum3_gap2,0.057305388768894676
maximum_core_linear_error3,0.0570975917411461
minimum2_first_age,0.05661414361781219
delta_from_minimum_phase_strength14,0.05624692160613274
own_gap_med,0.055883925625007866
rank_recentcore_last_due365,0.05583678204327702
rank_core_cadence_missing_fraction,0.05563397397737565
minimum1_due_gap_recent,0.05559790624349212
delta_from_minimum_recentcore_last_due14,0.055383578907283806
own_core_gap_error90,0.05538066086850465
minimum1_amount_mean,0.05494456928180045
global_all_age,0.05471614204198461
minimum1_core_regular_amount,0.054694378883609535
minimum1_phase_due365,0.05466465469947884
maximum_core_phase_due60,0.05465320374866013
own_core_linear_error3,0.05411385337782484
maximum_core_gap_error14,0.054000047480225806
maximum_core_gap_max,0.05336609809235104
delta_from_minimum_recentcore_phase_strength60,0.05279114910166015
minimum2_overdue_gap_recent,0.052509982965198626
delta_from_minimum_recentcore_age1,0.0524815611266412
delta_from_minimum_amount_cv,0.05230991101956312
minimum1_phase_due14,0.051570702561568864
minimum3_span,0.05120436018421241
delta_from_minimum_gap3,0.05105046565403395
minimum2_core_phase_due30,0.051037413979978914
rank_recentcore_phase_strength90,0.05097133316854222
rank_core_linear_due3,0.05096796189001322
competitor0_core_amount_cv,0.050437323924489165
delta_from_minimum_recentcore_last_due7,0.05008695781094089
delta_from_minimum_core_span,0.05007622226165003
own_mcc_5734,0.050073024459773935
own_core_amount_last_delta,0.049740481292246536
rank_core_last_due30,0.04966228238465795
delta_from_minimum_linear_error5,0.049612004947511695
rank_recentcore_linear_due8,0.04946515480279963
delta_from_minimum_cadence_error,0.04903063528807578
own_recentcore_age4,0.048894560474608925
competitor0_cadence_error,0.04882509056805512
delta_from_minimum_recentcore_overdue_gap_recent,0.04878679392087586
minimum1_text_confidence,0.04872030092203042
minimum1_cadence_age_ratio,0.04852200499903609
own_linear_due8,0.04846917337448709
maximum_core_amount_range,0.048413836922443616
minimum3_recentcore_phase_strength7,0.04819431410660537
own_amount_slope,0.04796099883323891
minimum1_core_phase_due365,0.04793087144384747
delta_from_minimum_overdue_gap_med,0.047900240388158495
maximum_mcc_5734,0.047871206149733066
minimum1_phase_strength90,0.04758830791564477
maximum_gap_med,0.04749975536571625
minimum1_recentcore_phase_due60,0.047489150036778394
rank_core_phase_due60,0.04731038971959213
minimum3_phase_strength60,0.047143432337122114
own_recentcore_overdue_gap_recent,0.04703352195405106
delta_from_minimum_recentcore_amount_delta,0.04694236543397033
own_recentcore_gap_error60,0.0463429295102431
delta_from_minimum_core_linear_due5,0.045597543872140385
delta_from_minimum_active_due_1.2,0.04551072174480166
own_overdue_gap_mean,0.0453076284996872
own_recentcore_gap_error90,0.04524392497880456
minimum3_amount_range,0.045015851461229134
rank_recentcore_overdue_gap_mean,0.04467245989536648
minimum2_recentcore_phase_strength365,0.044668476096177974
own_recentcore_due_gap_mean,0.04448365230478337
own_cadence_due,0.044468645892688057
minimum1_recentcore_linear_period3,0.044310358760714236
minimum2_recentcore_n15,0.04421678236582039
minimum1_amount_mad,0.04391085934513924
own_core_age5,0.043859498163931844
minimum1_recentcore_gap_error90,0.04384797274753587
competitor0_core_n,0.043668547406962424
own_recentcore_gap_recent,0.04348532530110524
maximum_active_due_2.0,0.043480432375076046
minimum1_amount_slope,0.043430626369387826
maximum_gap_error14,0.04341447468514562
delta_from_minimum_first_age,0.04322654543749307
delta_from_minimum_overdue_gap_recent,0.04305530962296715
minimum1_phase_due90,0.042981783781572906
rank_core_n30,0.04283991517023227
minimum2_core_active_n_2.0,0.04277962062986122
delta_from_minimum_core_phase_strength14,0.04250828288736924
own_recentcore_linear_error5,0.04250796073646946
global_history_age,0.0422743169534608
delta_from_minimum_phase_strength365,0.04219817144548062
delta_from_minimum_amount_last,0.04201532404739823
rank_generic_fraction,0.042005860685386094
minimum1_core_linear_period3,0.04197683261148987
competitor0_refund_n,0.04194100308255252
